# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40435192 35.18773 35.18107 35.24642 -171.76   57.93   97.13    4.88    4.92 1.8676e+06 2.6718e+06 3.20845 0.24722 0.70780 0.42173  161.93       87 40440170 40440170
40435197 35.23623 35.14352 35.24128  -96.27  -96.29   17.96    6.51    8.91 1.0473e+07 8.5986e+07 5.70141 0.44124 0.33930  330.87   21781      542 40440170 40440170
40435201 35.22344 35.20656 35.23597  -46.42    2.57  -10.28    4.46    4.35 1.182e+06 1.2293e+06 2.75493 0.16325 0.92700 0.094995  54.108       64 40440170 40440170
40435207 35.19608 35.20680 35.26504  -67.71  -40.93    7.68    6.66    7.97 5.9577e+06 1.0118e+07 4.72394 0.39609 0.50860  5.4371  1061.4      255 40438685 40440170
40435211 35.19801 35.14003 35.25614 -113.34   37.56  -31.87    3.77    4.89 1.631e+06 7.1869e+06 3.06761 0.30740 0.28950  2.8191  654.79       81 40440170 40440170
40435216 35.20024 35.20513 35.29177 -100.18   46.48  -48.24    8.37   10.51 9.5507e+06 3.6193e+07 5.52817 0.28330 0.17660  62.821  6418.6      593 40438287 40440170
40435218 35.16977 35.15058 35.32720  -50.35  123.06  -30.93    3.48    4.35 1.5845e+06 7.3444e+06 3.03803 0.31066 0.37920  2.9389  675.15      127 40440170 40440170
40435219 35.21385 35.06346 35.21045 -105.90   -8.32   60.11    3.53    3.91 1.2293e+06 1.5291e+06 2.79155 0.10587 0.62820 0.14444  73.637       99 40440170 40440170
40435226 35.19618 35.02938 35.19689  -79.21   -2.65  101.59    4.02    4.15 1.7014e+06 2.2855e+06 3.11127 0.23285 0.62820 0.31245  129.88      156 40440170 40440170
40435235 35.21083 35.17994 35.17262 -107.63    2.95  106.23    3.45    7.08 6.1465e+05 1.0796e+07 2.21549 0.14556 0.18990  6.1575  1163.1       34 40435547 40440170
40435237 35.23032 35.16261 35.27308  -84.26  -37.25   54.13    4.42    5.00 1.8915e+06 7.6516e+06 3.22254 0.31168 0.30280  3.1796  715.37      172 40440170 40440170
40435238 35.21637 35.14156 35.30882  -61.83   14.13   92.12    3.81    4.18 1.3003e+06 3.4042e+06 2.84366 0.16796 0.32930 0.67148  227.97      281 40440170 40440170
40435239 35.06537 35.11449 35.19715  -98.42   60.87  115.51    3.56    4.43 1.2293e+06 5.5479e+06 2.79155 0.18431 0.39240  1.7151  454.34       93 40440170 40440170
40435242 35.13356 35.11206 35.18145 -132.77  120.20  110.39    4.96    5.47 2.9549e+06 1.4307e+07 3.73944 0.30539 0.30280  10.573    1731      339 40440170 40440170
