#
# Sat ID  	Host ID   	Sat PID   	Sat UpID  
#
12649380  	12552980  	-1        	-1        
12649466  	12552980  	-1        	-1        
12649482  	12552980  	-1        	-1        
12649501  	12552980  	-1        	-1        
9383885   	9384762   	-1        	-1        
9383899   	9384762   	9384342   	9384342   
9383937   	9384762   	-1        	-1        
9384030   	9384762   	-1        	-1        
9384034   	9384762   	-1        	-1        
9384050   	9384762   	-1        	-1        
9384053   	9384762   	-1        	-1        
9384062   	9384762   	-1        	-1        
9384111   	9384762   	-1        	-1        
9384114   	9384762   	-1        	-1        
9384152   	9384762   	-1        	-1        
9384155   	9384762   	-1        	-1        
9384322   	9384762   	-1        	-1        
9384342   	9384762   	-1        	-1        
9384546   	9384762   	-1        	-1        
9384572   	9384762   	-1        	-1        
9452015   	9384762   	-1        	-1        
9452884   	9384762   	-1        	-1        
9452897   	9384762   	-1        	-1        
9452925   	9384762   	-1        	-1        
9453348   	9384762   	-1        	-1        
9453353   	9384762   	-1        	-1        
9453354   	9384762   	-1        	-1        
9453944   	9384762   	-1        	-1        
9461253   	9384762   	-1        	-1        
9386987   	9387610   	-1        	-1        
9387023   	9387610   	-1        	-1        
9387024   	9387610   	-1        	-1        
9387185   	9387610   	-1        	-1        
9387204   	9387610   	-1        	-1        
9387304   	9387610   	-1        	-1        
9387312   	9387610   	-1        	-1        
9387323   	9387610   	-1        	-1        
9387324   	9387610   	-1        	-1        
9387370   	9387610   	-1        	-1        
9387411   	9387610   	-1        	-1        
9387504   	9387610   	-1        	-1        
9411026   	9387610   	-1        	-1        
9411249   	9387610   	-1        	-1        
9411250   	9387610   	-1        	-1        
9411256   	9387610   	-1        	-1        
9411410   	9387610   	-1        	-1        
9411415   	9387610   	-1        	-1        
9411517   	9387610   	-1        	-1        
9420520   	9387610   	-1        	-1        
9420969   	9387610   	-1        	-1        
13143753  	13144369  	-1        	-1        
13144110  	13144369  	-1        	-1        
13144311  	13144369  	-1        	-1        
13144313  	13144369  	-1        	-1        
13144314  	13144369  	-1        	-1        
13144335  	13144369  	-1        	-1        
13144336  	13144369  	-1        	-1        
13144372  	13144369  	-1        	-1        
13188411  	13144369  	-1        	-1        
13194624  	13144369  	-1        	-1        
13194633  	13144369  	-1        	-1        
13195054  	13144369  	-1        	-1        
64498666  	64554642  	-1        	-1        
64501649  	64554642  	-1        	-1        
64502646  	64554642  	-1        	-1        
64502706  	64554642  	-1        	-1        
64506609  	64554642  	-1        	-1        
64550046  	64554642  	-1        	-1        
64551116  	64554642  	-1        	-1        
64551145  	64554642  	-1        	-1        
64552584  	64554642  	-1        	-1        
64554550  	64554642  	-1        	-1        
64554558  	64554642  	64554559  	64554559  
64554559  	64554642  	-1        	-1        
64714865  	64554642  	-1        	-1        
64715247  	64554642  	-1        	-1        
64719355  	64554642  	-1        	-1        
64721257  	64554642  	-1        	-1        
64721978  	64554642  	-1        	-1        
64725329  	64554642  	-1        	-1        
64725574  	64554642  	-1        	-1        
64726256  	64554642  	-1        	-1        
64726372  	64554642  	-1        	-1        
64727237  	64554642  	-1        	-1        
64776878  	64554642  	-1        	-1        
64777009  	64554642  	-1        	-1        
64777432  	64554642  	-1        	-1        
64777447  	64554642  	-1        	-1        
64777504  	64554642  	-1        	-1        
64779627  	64554642  	-1        	-1        
64785215  	64554642  	-1        	-1        
64785259  	64554642  	-1        	-1        
52899398  	52900128  	-1        	-1        
52899432  	52900128  	-1        	-1        
52899459  	52900128  	-1        	-1        
52899485  	52900128  	-1        	-1        
52899592  	52900128  	-1        	-1        
52899654  	52900128  	-1        	-1        
52899704  	52900128  	-1        	-1        
52899756  	52900128  	-1        	-1        
52899824  	52900128  	-1        	-1        
52899825  	52900128  	-1        	-1        
52899846  	52900128  	-1        	-1        
52899853  	52900128  	-1        	-1        
52899898  	52900128  	-1        	-1        
52899952  	52900128  	-1        	-1        
52902228  	52900128  	52902242  	52902242  
52902229  	52900128  	52902242  	52902242  
52902242  	52900128  	-1        	-1        
52902246  	52900128  	52902249  	52902249  
52902247  	52900128  	52902249  	52902249  
52902249  	52900128  	-1        	-1        
52903930  	52900128  	-1        	-1        
52904037  	52900128  	-1        	-1        
52904049  	52900128  	-1        	-1        
52906792  	52900128  	-1        	-1        
52906884  	52900128  	-1        	-1        
52907140  	52900128  	-1        	-1        
52907918  	52900128  	-1        	-1        
52908192  	52900128  	-1        	-1        
52908196  	52900128  	-1        	-1        
52908785  	52900128  	-1        	-1        
52908811  	52900128  	-1        	-1        
52908995  	52900128  	-1        	-1        
52909546  	52900128  	-1        	-1        
52910006  	52900128  	-1        	-1        
52911587  	52900128  	-1        	-1        
